Timestamp,CONFORME,Are you:,Are you a Globe user?,What Globe services do you currently use? (Check all that apply),"Which mall(s) do you usually visit? (ex. MOA, SM Sta. Mesa, Robinsons Manila, etc.) (Can provide more than 1)","Have you ever visited a Globe or other telco store (like Smart, DITO, etc.)?  ","If yes, What are your usual reasons for visiting the store? (Check all that apply)",Have you encountered any challenges or difficulties when visiting a Globe / Telco store? ,What kind of challenges/difficulties have you experienced? (Check all that apply),"If answered ""Other"", please specify:",What can telco companies do to serve Deaf customers better? (You can choose more than one.) ,"If answered ""Other"", please specify:",Have you ever met a Deaf staff working in mall stores?,How would you feel if you saw Deaf people working at a Globe or telco store? ,"If answered ""Other"", please specify:",Do you think having Deaf employees in stores can help Deaf and hard-of-hearing customers communicate better? ,Would you like to work for a telco company in the future? ,Any other comments or suggestions for Globe or other telco companies? 
11/8/2025 13:30:56,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet",SM sta mesa,Yes,"Buying or loading SIM cards, Availing promos or plans, Other",Yes,"Difficulty communicating with staff or customer support, Staff having hard time to answer questions and concerns",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,No,Happy and proud,,"Yes, very helpful",Yes,-
11/8/2025 13:30:58,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,N/A,n/a,Yes,"Paying bills, Buying or loading SIM cards, Availing promos or plans, Device or account concerns",Yes,"Difficulty communicating with staff or customer support, No staff available who understand sign language, Staff having hard time to answer questions and concerns, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues",,Hire Deaf staff / assistants,,No,Happy and proud,,"Yes, very helpful",No,n/a
11/8/2025 13:31:13,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Postpaid),SM megamall,Yes,"Paying bills, Availing promos or plans, Device or account concerns",Yes,"No staff available who understand sign language, Lack of visual information or display guides when communicating, Difficulty explaining service/s or technical issues",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,No,Happy and proud,,"Yes, very helpful",Yes,Very helpful if hire deaf
11/8/2025 13:31:31,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),SM pampanga,Yes,Buying or loading SIM cards,No,No staff available who understand sign language,,Hire Deaf staff / assistants,,No,Grateful,,"Yes, very helpful",Yes,Na
11/8/2025 13:31:52,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Broadband / Internet,MOA,Yes,Paying bills,Yes,"No staff available who understand sign language, Lack of visual information or display guides when communicating",N/A,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",N/A,Yes,Happy and proud,N/A,"Yes, very helpful",Yes,N/A
11/8/2025 13:32:03,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,No,Broadband / Internet,SM Moa,Yes,Paying bills,No,Lack of visual information or display guides when communicating,N/A,Use more PWD-friendly visual signs or digital displays,NA,Yes,Happy and proud,NA,Maybe helpful,Maybe,NA
11/8/2025 13:32:06,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),"Robinsons Manila, SM Manila",No,,No,Others (please specify): _____________,N/A,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Happy and proud,,"Yes, very helpful",Maybe,N/A
11/8/2025 13:32:07,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Smart user,SM North EDSA,Yes,"Buying or loading SIM cards, Availing promos or plans",No,"Difficulty communicating with staff or customer support, Long waiting time or unclear queueing process",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,No,Grateful,,"Yes, very helpful",Yes,N/A
11/8/2025 13:32:11,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Mobile (Prepaid),Sm Sta Rosa,Yes,Buying or loading SIM cards,Yes,Others (please specify): _____________,N/A,☐ Other: ___________,N/A,No,Other: ___________,N/A,Not really,No,Hope that Deaf hiring by That
11/8/2025 13:32:20,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,No,Mobile (Prepaid),"Robinson Manila, SM Aura, SM Makati, Glorietta",Yes,Paying bills,No,Long waiting time or unclear queueing process,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",No,N/A
